messages_size_bytes, average_send_time_us, average_recv_time_us,rtt_us,bandwidth_mbps
1, 3.45, 542.27, 545.72, 0.00
2, 3.43, 542.03, 545.46, 0.01
4, 3.23, 541.91, 545.14, 0.01
8, 3.26, 541.37, 544.63, 0.03
16, 3.27, 541.57, 544.84, 0.06
32, 3.25, 541.70, 544.95, 0.12
64, 3.20, 543.42, 546.62, 0.23
128, 3.40, 541.53, 544.93, 0.47
256, 572.45, 10.52, 582.97, 0.88
512, 580.31, 19.76, 600.07, 1.71
1024, 595.00, 28.62, 623.62, 3.28
2048, 601.79, 13.68, 615.47, 6.66
4096, 588.54, 24.27, 612.81, 13.37
8192, 558.49, 17.85, 576.34, 28.43
16384, 558.72, 13.52, 572.24, 57.26
32768, 585.97, 29.36, 615.33, 106.51
65536, 663.05, 114.43, 777.48, 168.59
131072, 604.49, 92.09, 696.58, 376.33
262144, 468.56, 214.62, 683.18, 767.42
524288, 906.24, 454.05, 1360.29, 770.85
1048576, 1259.94, 902.82, 2162.76, 969.66

Estimated latency: 272.46 microseconds
Estimated bandwidth: 969.66 MB/s
Estimated buffer size: 262144 bytes
