impl,n,p,local_n,t_local,t_step2,t_total
mpi,2,1,2,0.000000020,0.000000040,0.000000060
mpi,4,1,4,0.000000020,0.000000040,0.000000060
mpi,8,1,8,0.000000030,0.000000040,0.000000070
mpi,16,1,16,0.000000020,0.000000040,0.000000060
mpi,32,1,32,0.000000030,0.000000040,0.000000070
mpi,64,1,64,0.000000030,0.000000040,0.000000070
mpi,128,1,128,0.000000050,0.000000040,0.000000090
mpi,256,1,256,0.000000080,0.000000040,0.000000120
mpi,512,1,512,0.000000150,0.000000040,0.000000190
mpi,1024,1,1024,0.000000270,0.000000040,0.000000310
mpi,2048,1,2048,0.000000520,0.000000030,0.000000550
mpi,4096,1,4096,0.000001020,0.000000040,0.000001060
mpi,8192,1,8192,0.000002000,0.000000040,0.000002040
mpi,16384,1,16384,0.000003981,0.000000040,0.000004021
mpi,32768,1,32768,0.000007940,0.000000040,0.000007980
mpi,65536,1,65536,0.000015841,0.000000030,0.000015881
mpi,131072,1,131072,0.000031692,0.000000040,0.000031732
mpi,262144,1,262144,0.000063303,0.000000050,0.000063363
mpi,524288,1,524288,0.000126684,0.000000070,0.000126754
mpi,1048576,1,1048576,0.000253539,0.000000080,0.000253639
mpi,4,2,2,0.000000030,0.000554348,0.000554378
mpi,8,2,4,0.000000020,0.000553540,0.000553570
mpi,16,2,8,0.000000030,0.000553110,0.000553140
mpi,32,2,16,0.000000030,0.000553128,0.000553158
mpi,64,2,32,0.000000030,0.000551857,0.000551887
mpi,128,2,64,0.000000030,0.000560398,0.000560438
mpi,256,2,128,0.000000060,0.000559960,0.000560020
mpi,512,2,256,0.000000090,0.000551340,0.000551430
mpi,1024,2,512,0.000000150,0.000552437,0.000552577
mpi,2048,2,1024,0.000000270,0.000553468,0.000553748
mpi,4096,2,2048,0.000000520,0.000552478,0.000552998
mpi,8192,2,4096,0.000001010,0.000551387,0.000552397
mpi,16384,2,8192,0.000002000,0.000552450,0.000554450
mpi,32768,2,16384,0.000003980,0.000552510,0.000556511
mpi,65536,2,32768,0.000007950,0.000550690,0.000558630
mpi,131072,2,65536,0.000015870,0.000551987,0.000567867
mpi,262144,2,131072,0.000031701,0.000549239,0.000580900
mpi,524288,2,262144,0.000063462,0.000559650,0.000622993
mpi,1048576,2,524288,0.000126844,0.000552550,0.000679284
mpi,8,4,2,0.000000030,0.000547309,0.000547339
mpi,16,4,4,0.000000030,0.000547537,0.000547557
mpi,32,4,8,0.000000030,0.000549399,0.000549429
mpi,64,4,16,0.000000030,0.000365763,0.000365793
mpi,128,4,32,0.000000030,0.000551230,0.000551290
mpi,256,4,64,0.000000040,0.000544309,0.000544349
mpi,512,4,128,0.000000060,0.000548658,0.000548708
mpi,1024,4,256,0.000000090,0.000551848,0.000551938
mpi,2048,4,512,0.000000150,0.000544087,0.000544237
mpi,4096,4,1024,0.000000270,0.000548118,0.000548388
mpi,8192,4,2048,0.000000520,0.000543877,0.000544397
mpi,16384,4,4096,0.000001020,0.000549879,0.000550899
mpi,32768,4,8192,0.000002000,0.000547579,0.000549579
mpi,65536,4,16384,0.000003990,0.000556537,0.000560527
mpi,131072,4,32768,0.000007960,0.000546828,0.000554788
