impl,n,p,local_n,t_local,t_step2,t_total
naive,2,1,2,0.000000020,0.000000030,0.000000060
naive,4,1,4,0.000000020,0.000000030,0.000000050
naive,8,1,8,0.000000030,0.000000030,0.000000060
naive,16,1,16,0.000000020,0.000000030,0.000000050
naive,32,1,32,0.000000030,0.000000030,0.000000060
naive,64,1,64,0.000000030,0.000000030,0.000000060
naive,128,1,128,0.000000050,0.000000030,0.000000080
naive,256,1,256,0.000000090,0.000000030,0.000000120
naive,512,1,512,0.000000140,0.000000030,0.000000170
naive,1024,1,1024,0.000000270,0.000000030,0.000000300
naive,2048,1,2048,0.000000510,0.000000030,0.000000540
naive,4096,1,4096,0.000001010,0.000000030,0.000001040
naive,8192,1,8192,0.000002000,0.000000030,0.000002030
naive,16384,1,16384,0.000003980,0.000000030,0.000004010
naive,32768,1,32768,0.000007930,0.000000030,0.000007960
naive,65536,1,65536,0.000015840,0.000000030,0.000015870
naive,131072,1,131072,0.000031671,0.000000030,0.000031711
naive,262144,1,262144,0.000063353,0.000000030,0.000063413
naive,524288,1,524288,0.000126624,0.000000040,0.000126664
naive,1048576,1,1048576,0.000253169,0.000000030,0.000253199
naive,4,2,2,0.000000030,0.000577398,0.000577598
naive,8,2,4,0.000000020,0.001019102,0.001019132
naive,16,2,8,0.000000030,0.001080885,0.001080935
naive,32,2,16,0.000000030,0.001099825,0.001099855
naive,64,2,32,0.000000030,0.001091225,0.001091255
naive,128,2,64,0.000000040,0.001092025,0.001092065
naive,256,2,128,0.000000050,0.001088105,0.001088165
naive,512,2,256,0.000000080,0.001085275,0.001085365
naive,1024,2,512,0.000000150,0.001090925,0.001091075
naive,2048,2,1024,0.000000270,0.001083534,0.001083834
naive,4096,2,2048,0.000000520,0.001095115,0.001095635
naive,8192,2,4096,0.000001010,0.001090235,0.001091255
naive,16384,2,8192,0.000002000,0.001084415,0.001086415
naive,32768,2,16384,0.000003990,0.001094524,0.001098514
naive,65536,2,32768,0.000007950,0.001084915,0.001092875
naive,131072,2,65536,0.000015871,0.001091915,0.001107786
naive,262144,2,131072,0.000031721,0.001090445,0.001122906
naive,524288,2,262144,0.000063642,0.001101425,0.001166167
naive,1048576,2,524288,0.000126994,0.001096435,0.001223449
naive,8,4,2,0.000000030,0.000555908,0.000556078
naive,16,4,4,0.000000030,0.001093275,0.001093305
naive,32,4,8,0.000000030,0.001083505,0.001083535
naive,64,4,16,0.000000030,0.001088905,0.001088935
naive,128,4,32,0.000000030,0.001084865,0.001084895
naive,256,4,64,0.000000040,0.001094425,0.001094465
naive,512,4,128,0.000000050,0.001087504,0.001087544
naive,1024,4,256,0.000000090,0.001092395,0.001092505
