impl,n,p,local_n,t_local,t_step2,t_total
stacked,2,1,2,0.000000020,0.000000030,0.000000050
stacked,4,1,4,0.000000020,0.000000030,0.000000050
stacked,8,1,8,0.000000020,0.000000030,0.000000050
stacked,16,1,16,0.000000030,0.000000040,0.000000070
stacked,32,1,32,0.000000030,0.000000030,0.000000060
stacked,64,1,64,0.000000030,0.000000030,0.000000060
stacked,128,1,128,0.000000050,0.000000030,0.000000080
stacked,256,1,256,0.000000080,0.000000030,0.000000110
stacked,512,1,512,0.000000150,0.000000040,0.000000190
stacked,1024,1,1024,0.000000270,0.000000050,0.000000320
stacked,2048,1,2048,0.000000520,0.000000040,0.000000560
stacked,4096,1,4096,0.000001010,0.000000040,0.000001060
stacked,8192,1,8192,0.000002000,0.000000050,0.000002050
stacked,16384,1,16384,0.000003980,0.000000060,0.000004050
stacked,32768,1,32768,0.000007940,0.000000050,0.000007990
stacked,65536,1,65536,0.000015850,0.000000060,0.000015911
stacked,131072,1,131072,0.000031661,0.000000090,0.000031771
stacked,262144,1,262144,0.000063343,0.000000100,0.000063473
stacked,524288,1,524288,0.000127804,0.000000100,0.000127904
stacked,1048576,1,1048576,0.000254119,0.000024691,0.000278810
stacked,4,2,2,0.000000030,0.000550980,0.000551010
stacked,8,2,4,0.000000030,0.000557308,0.000557338
stacked,16,2,8,0.000000030,0.000554308,0.000554338
stacked,32,2,16,0.000000030,0.000555189,0.000555219
stacked,64,2,32,0.000000030,0.000560238,0.000560268
stacked,128,2,64,0.000000040,0.001098380,0.001098420
stacked,256,2,128,0.000000060,0.001084925,0.001084985
stacked,512,2,256,0.000000080,0.001088329,0.001088419
stacked,1024,2,512,0.000000150,0.001096120,0.001096270
stacked,2048,2,1024,0.000000270,0.001105415,0.001105695
stacked,4096,2,2048,0.000000520,0.001094889,0.001095399
stacked,8192,2,4096,0.000001010,0.001103429,0.001104439
stacked,16384,2,8192,0.000002000,0.001110719,0.001112719
stacked,32768,2,16384,0.000003990,0.001131990,0.001135970
stacked,65536,2,32768,0.000007950,0.001185228,0.001193179
stacked,131072,2,65536,0.000015870,0.001143300,0.001159140
stacked,262144,2,131072,0.000031721,0.001331537,0.001363198
stacked,524288,2,262144,0.000063502,0.001686181,0.001749543
stacked,1048576,2,524288,0.000126914,0.002849762,0.002980307
stacked,8,4,2,0.000000030,0.000556940,0.000556970
stacked,16,4,4,0.000000030,0.000548498,0.000548528
stacked,32,4,8,0.000000030,0.000552289,0.000552319
stacked,64,4,16,0.000000030,0.000462605,0.000462645
stacked,128,4,32,0.000000030,0.000549809,0.000549849
stacked,256,4,64,0.000000040,0.001080415,0.001080445
stacked,512,4,128,0.000000050,0.001093714,0.001093764
stacked,1024,4,256,0.000000090,0.001089464,0.001089544
stacked,2048,4,512,0.000000150,0.001105939,0.001106079
stacked,4096,4,1024,0.000000270,0.001094875,0.001095155
stacked,8192,4,2048,0.000000520,0.001109539,0.001110059
stacked,16384,4,4096,0.000001010,0.001114750,0.001115790
stacked,32768,4,8192,0.000002010,0.001098050,0.001100050
stacked,65536,4,16384,0.000003990,0.001118106,0.001122096
stacked,131072,4,32768,0.000007960,0.001140177,0.001148137
stacked,262144,4,65536,0.000015890,0.001334698,0.001350539
stacked,524288,4,131072,0.000032261,0.001594577,0.001626288
stacked,1048576,4,262144,0.000063922,0.003287727,0.003351279
stacked,16,8,2,0.000000030,0.000551460,0.000551490
stacked,32,8,4,0.000000030,0.000549220,0.000549240
stacked,64,8,8,0.000000030,0.000555898,0.000555928
stacked,128,8,16,0.000000030,0.000559740,0.000559770
stacked,256,8,32,0.000000040,0.000563258,0.000563298
stacked,512,8,64,0.000000040,0.001095319,0.001095369
stacked,1024,8,128,0.000000070,0.001093965,0.001094035
stacked,2048,8,256,0.000000110,0.001092129,0.001092249
stacked,4096,8,512,0.000000170,0.001098729,0.001098869
stacked,8192,8,1024,0.000000300,0.001093875,0.001094145
stacked,16384,8,2048,0.000000540,0.001105365,0.001105915
stacked,32768,8,4096,0.000001040,0.001123070,0.001124110
stacked,65536,8,8192,0.000002030,0.001109115,0.001111135
stacked,131072,8,16384,0.000004020,0.001151111,0.001155141
stacked,262144,8,32768,0.000008000,0.001332897,0.001340857
stacked,524288,8,65536,0.000015960,0.001885507,0.001901428
stacked,1048576,8,131072,0.000031891,0.003458084,0.003490145
stacked,32,16,2,0.000000030,0.000568619,0.000568649
stacked,64,16,4,0.000000030,0.000562047,0.000562077
stacked,128,16,8,0.000000030,0.000570348,0.000570378
stacked,256,16,16,0.000000030,0.000566708,0.000566738
stacked,512,16,32,0.000000040,0.000570368,0.000570408
stacked,1024,16,64,0.000000050,0.001109639,0.001109679
stacked,2048,16,128,0.000000070,0.001094505,0.001094565
stacked,4096,16,256,0.000000110,0.001102869,0.001102959
stacked,8192,16,512,0.000000170,0.001119350,0.001119500
stacked,16384,16,1024,0.000000300,0.001122296,0.001122586
stacked,32768,16,2048,0.000000540,0.000952314,0.000953244
stacked,65536,16,4096,0.000001040,0.001182297,0.001183307
stacked,131072,16,8192,0.000002030,0.001131840,0.001133840
stacked,262144,16,16384,0.000004030,0.001346678,0.001350688
stacked,524288,16,32768,0.000008001,0.001767916,0.001775877
stacked,1048576,16,65536,0.000015961,0.002797489,0.002813460
stacked,64,32,2,0.000000030,0.000566321,0.000566351
stacked,128,32,4,0.000000030,0.000559130,0.000559150
stacked,256,32,8,0.000000030,0.000573158,0.000573188
stacked,512,32,16,0.000000040,0.000576811,0.000576841
stacked,1024,32,32,0.000000040,0.000573018,0.000573048
stacked,2048,32,64,0.000000050,0.001095655,0.001095685
stacked,4096,32,128,0.000000060,0.001097895,0.001097955
stacked,8192,32,256,0.000000090,0.001103425,0.001103515
stacked,16384,32,512,0.000000160,0.001105096,0.001105246
stacked,32768,32,1024,0.000000280,0.001120916,0.001121186
stacked,65536,32,2048,0.000000531,0.001087339,0.001087869
stacked,131072,32,4096,0.000001030,0.001166847,0.001167897
stacked,262144,32,8192,0.000002050,0.001336443,0.001338483
stacked,524288,32,16384,0.000004050,0.001796247,0.001800277
