impl,n,p,local_n,t_local,t_step2,t_total
cube,2,1,2,0.000000020,0.000000030,0.000000060
cube,4,1,4,0.000000020,0.000000030,0.000000050
cube,8,1,8,0.000000030,0.000000030,0.000000060
cube,16,1,16,0.000000020,0.000000030,0.000000060
cube,32,1,32,0.000000030,0.000000030,0.000000060
cube,64,1,64,0.000000030,0.000000030,0.000000060
cube,128,1,128,0.000000050,0.000000030,0.000000080
cube,256,1,256,0.000000080,0.000000030,0.000000110
cube,512,1,512,0.000000150,0.000000030,0.000000180
cube,1024,1,1024,0.000000270,0.000000030,0.000000300
cube,2048,1,2048,0.000000520,0.000000030,0.000000550
cube,4096,1,4096,0.000001010,0.000000030,0.000001040
cube,8192,1,8192,0.000002000,0.000000030,0.000002030
cube,16384,1,16384,0.000003980,0.000000030,0.000004010
cube,32768,1,32768,0.000007930,0.000000030,0.000007970
cube,65536,1,65536,0.000015840,0.000000030,0.000015870
cube,131072,1,131072,0.000031651,0.000000030,0.000031681
cube,262144,1,262144,0.000063302,0.000000030,0.000063332
cube,524288,1,524288,0.000126655,0.000000030,0.000126695
cube,1048576,1,1048576,0.000253249,0.000000030,0.000253279
cube,4,2,2,0.000000020,0.000552398,0.000552428
cube,8,2,4,0.000000030,0.000551938,0.000551968
cube,16,2,8,0.000000030,0.000550708,0.000550738
cube,32,2,16,0.000000030,0.000553270,0.000553300
cube,64,2,32,0.000000030,0.000555978,0.000556008
cube,128,2,64,0.000000030,0.000549879,0.000549919
cube,256,2,128,0.000000050,0.000551247,0.000551317
cube,512,2,256,0.000000090,0.000550870,0.000550960
cube,1024,2,512,0.000000140,0.000550477,0.000550627
cube,2048,2,1024,0.000000270,0.000554898,0.000555168
cube,4096,2,2048,0.000000520,0.000550477,0.000550997
cube,8192,2,4096,0.000001010,0.000549437,0.000550447
cube,16384,2,8192,0.000002010,0.000553068,0.000555078
cube,32768,2,16384,0.000003990,0.000550320,0.000554300
cube,65536,2,32768,0.000007941,0.000553248,0.000561189
cube,131072,2,65536,0.000015870,0.000551329,0.000567170
cube,262144,2,131072,0.000031701,0.000547999,0.000579660
cube,524288,2,262144,0.000063472,0.000562541,0.000625863
cube,1048576,2,524288,0.000126854,0.000553257,0.000680221
cube,8,4,2,0.000000030,0.000552187,0.000552217
cube,16,4,4,0.000000030,0.000555638,0.000555658
cube,32,4,8,0.000000030,0.000552508,0.000552538
cube,64,4,16,0.000000030,0.000560300,0.000560340
cube,128,4,32,0.000000040,0.000552877,0.000552917
cube,256,4,64,0.000000040,0.000551879,0.000551919
cube,512,4,128,0.000000050,0.000548709,0.000548759
cube,1024,4,256,0.000000090,0.000549258,0.000549348
cube,2048,4,512,0.000000150,0.000557537,0.000557687
cube,4096,4,1024,0.000000270,0.000553588,0.000553958
cube,8192,4,2048,0.000000520,0.000554829,0.000555349
cube,16384,4,4096,0.000001020,0.000549500,0.000550520
cube,32768,4,8192,0.000002010,0.000547820,0.000549821
cube,65536,4,16384,0.000004000,0.000548109,0.000552089
cube,131072,4,32768,0.000007960,0.000551990,0.000559950
cube,262144,4,65536,0.000015890,0.000550960,0.000566830
cube,524288,4,131072,0.000031771,0.000562270,0.000593931
cube,1048576,4,262144,0.000063592,0.000558450,0.000621852
cube,16,8,2,0.000000030,0.000551140,0.000551190
cube,32,8,4,0.000000030,0.000558357,0.000558387
cube,64,8,8,0.000000030,0.000549388,0.000549418
cube,128,8,16,0.000000030,0.000545087,0.000545117
cube,256,8,32,0.000000030,0.000555087,0.000555117
cube,512,8,64,0.000000050,0.000552820,0.000552870
cube,1024,8,128,0.000000070,0.000554978,0.000555028
cube,2048,8,256,0.000000110,0.000554030,0.000554140
cube,4096,8,512,0.000000170,0.000553340,0.000553490
cube,8192,8,1024,0.000000300,0.000549417,0.000549687
cube,16384,8,2048,0.000000540,0.000553158,0.000553688
cube,32768,8,4096,0.000001040,0.000554158,0.000555169
cube,65536,8,8192,0.000002030,0.000547969,0.000549999
cube,131072,8,16384,0.000004020,0.000553780,0.000557810
cube,262144,8,32768,0.000008000,0.000553819,0.000561800
cube,524288,8,65536,0.000015960,0.000549350,0.000565241
cube,1048576,8,131072,0.000031851,0.000549188,0.000580939
cube,32,16,2,0.000000030,0.000553420,0.000553450
cube,64,16,4,0.000000030,0.000553610,0.000553640
cube,128,16,8,0.000000030,0.000553830,0.000553860
cube,256,16,16,0.000000030,0.000554048,0.000554078
cube,512,16,32,0.000000040,0.000555270,0.000555300
cube,1024,16,64,0.000000050,0.000553947,0.000553987
cube,2048,16,128,0.000000070,0.000560178,0.000560228
cube,4096,16,256,0.000000110,0.000555668,0.000555788
cube,8192,16,512,0.000000170,0.000553810,0.000553960
cube,16384,16,1024,0.000000300,0.000564188,0.000564458
cube,32768,16,2048,0.000000550,0.000554888,0.000555408
cube,65536,16,4096,0.000001040,0.000551250,0.000552270
cube,131072,16,8192,0.000002030,0.000556360,0.000558390
cube,262144,16,16384,0.000004020,0.000557507,0.000561497
cube,524288,16,32768,0.000008000,0.000551728,0.000559688
cube,1048576,16,65536,0.000015960,0.000557010,0.000572951
cube,64,32,2,0.000000030,0.000573671,0.000573701
cube,128,32,4,0.000000030,0.000567658,0.000567688
cube,256,32,8,0.000000030,0.000570760,0.000570790
