n,G,p,total_runtime,avg_time_per_gen,comm_time,comp_time,comm_pct,comp_pct
64,100,1,0.001378,0.000014,0.000022,0.001357,1.58,98.42
64,100,2,0.001254,0.000013,0.000356,0.000898,28.39,71.61
128,100,4,0.002312,0.000023,0.000551,0.001760,23.85,76.15
4,100,1,0.000037,0.000000,0.000023,0.000014,61.32,38.68
4,100,2,0.000561,0.000006,0.000372,0.000188,66.42,33.58
8,100,2,0.000541,0.000005,0.000354,0.000187,65.39,34.61
8,100,1,0.000056,0.000001,0.000021,0.000035,37.28,62.72
8,100,4,0.000822,0.000008,0.000496,0.000326,60.37,39.63
16,100,1,0.000122,0.000001,0.000028,0.000094,22.99,77.01
32,100,1,0.000372,0.000004,0.000024,0.000349,6.34,93.66
16,100,2,0.000627,0.000006,0.000368,0.000259,58.74,41.26
16,100,4,0.000854,0.000009,0.000515,0.000339,60.31,39.69
16,100,8,0.000852,0.000009,0.000480,0.000373,56.26,43.74
32,100,2,0.000726,0.000007,0.000399,0.000327,54.95,45.05
32,100,4,0.000790,0.000008,0.000425,0.000365,53.76,46.24
64,100,32,0.112722,0.001127,0.111989,0.000733,99.35,0.65
32,100,8,0.000965,0.000010,0.000596,0.000369,61.72,38.28
128,100,32,0.120336,0.001203,0.119383,0.000953,99.21,0.79
32,100,16,0.001073,0.000011,0.000574,0.000498,53.54,46.46
64,100,1,0.001383,0.000014,0.000026,0.001356,1.91,98.09
64,100,2,0.001303,0.000013,0.000339,0.000963,26.06,73.94
256,100,32,0.113883,0.001139,0.112134,0.001749,98.46,1.54
64,100,4,0.001195,0.000012,0.000489,0.000706,40.89,59.11
64,100,8,0.001020,0.000010,0.000519,0.000501,50.89,49.11
512,100,32,0.114594,0.001146,0.111091,0.003503,96.94,3.06
128,100,1,0.005728,0.000057,0.000022,0.005706,0.38,99.62
128,100,2,0.003440,0.000034,0.000380,0.003060,11.04,88.96
128,100,4,0.002174,0.000022,0.000525,0.001649,24.16,75.84
64,100,16,0.001352,0.000014,0.000714,0.000637,52.85,47.15
1024,100,32,0.125966,0.001260,0.113923,0.012044,90.44,9.56
2048,100,32,0.159388,0.001594,0.112868,0.046520,70.81,29.19
256,100,1,0.022161,0.000222,0.000024,0.022136,0.11,99.89
256,100,2,0.011613,0.000116,0.000384,0.011229,3.31,96.69
128,100,8,0.001587,0.000016,0.000456,0.001130,28.75,71.25
128,100,16,0.001433,0.000014,0.000522,0.000911,36.43,63.57
256,100,4,0.006431,0.000064,0.000516,0.005915,8.03,91.97
256,100,8,0.003680,0.000037,0.000521,0.003159,14.17,85.83
512,100,1,0.089306,0.000893,0.000040,0.089266,0.05,99.95
256,100,16,0.002544,0.000025,0.000567,0.001977,22.28,77.72
512,100,2,0.045205,0.000452,0.000461,0.044744,1.02,98.98
512,100,4,0.022926,0.000229,0.000493,0.022433,2.15,97.85
512,100,8,0.011965,0.000120,0.000555,0.011410,4.64,95.36
512,100,16,0.006767,0.000068,0.000608,0.006159,8.99,91.01
1024,100,4,0.089820,0.000898,0.000670,0.089150,0.75,99.25
1024,100,2,0.178195,0.001782,0.000744,0.177451,0.42,99.58
1024,100,1,0.352025,0.003520,0.000044,0.351981,0.01,99.99
1024,100,8,0.045657,0.000457,0.000624,0.045034,1.37,98.63
1024,100,16,0.023357,0.000234,0.000782,0.022576,3.35,96.65
2048,100,2,0.705883,0.007059,0.000755,0.705127,0.11,99.89
2048,100,4,0.354244,0.003542,0.000949,0.353295,0.27,99.73
2048,100,1,1.447202,0.014472,0.000221,1.446982,0.02,99.98
2048,100,16,0.091731,0.000917,0.001432,0.090299,1.56,98.44
2048,100,8,0.179676,0.001797,0.000939,0.178738,0.52,99.48
