n,p,pi_estimate,error,time
1024,1,3.12890625000000000000,0.01268640358979311600,0.000095
1024,2,3.13671875000000000000,0.00487390358979311600,0.000057
1024,4,3.08593750000000000000,0.05565515358979311600,0.000055
1024,8,3.14453125000000000000,0.00293859641020688400,0.000092
1048576,1,3.14054870605468750000,0.00104394753510561600,0.022154
1048576,2,3.14011764526367187500,0.00147500832612124100,0.010168
1048576,4,3.14056015014648437500,0.00103250344330874100,0.009154
1048576,8,3.13997268676757812500,0.00161996682221499100,0.004145
16777216,1,3.14160561561584472656,0.00001296202605161056,0.236795
16777216,2,3.14204931259155273438,0.00045665900175961838,0.141939
16777216,4,3.14175105094909667969,0.00015839735930356369,0.073573
16777216,8,3.14151334762573242188,0.00007930596406069412,0.061706
268435456,1,3.14167860150337219238,0.00008594791357907638,3.694286
268435456,2,3.14155507087707519531,0.00003758271271792069,1.919338
268435456,4,3.14153800904750823975,0.00005464454228487625,1.009450
268435456,8,3.14155906438827514648,0.00003358920151796951,0.636141
1024,8,3.14453125000000000000,0.00293859641020688400,0.000179
4096,8,3.14746093750000000000,0.00586828391020688400,0.000161
16384,8,3.12744140625000000000,0.01415124733979311600,0.000604
65536,8,3.13922119140625000000,0.00237146218354311600,0.000541
262144,8,3.13989257812500000000,0.00170007546479311600,0.001506
1048576,8,3.13997268676757812500,0.00161996682221499100,0.006417
4194304,8,3.14068889617919921875,0.00090375741059389725,0.014201
16777216,8,3.14151334762573242188,0.00007930596406069412,0.044148
67108864,8,3.14174187183380126953,0.00014921824400815353,0.165378
268435456,8,3.14155906438827514648,0.00003358920151796951,0.677831
